Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
JAX,030-29-38.5600N,081-41-16.2500W,AIRPORT,Y-L,14/32,2,7701,150,CONC-G,HIGH,120,250,480,1000,G
JAX,030-29-38.5600N,081-41-16.2500W,AIRPORT,Y-L,08/26,2,10000,150,CONC-G,HIGH,120,250,485,1005,F
CRG,030-20-10.8000N,081-30-52.0000W,AIRPORT,Y-L,14/32,2,4008,100,ASPH-E,HIGH,30,,,,F
CRG,030-20-10.8000N,081-30-52.0000W,AIRPORT,Y-L,05/23,2,4004,100,ASPH-F,MED,30,,,,F
EYW,024-33-22.0300N,081-45-35.8400W,AIRPORT,Y-L,09/27,1,5076,100,ASPH-E,MED,75,125,195,,F
LCQ,030-10-55.4000N,082-34-36.7000W,AIRPORT,Y-L,10/28,2,8003,150,ASPH-E,MED,75,105,250,,G
LAL,027-59-15.5000N,082-01-08.4000W,AIRPORT,Y,05/23,3,5000,150,ASPH-F,HIGH,94,150,,,G
LAL,027-59-15.5000N,082-01-08.4000W,AIRPORT,Y,10/28,3,8500,150,ASPH-E,HIGH,50,250,550,1120,G
MKY,025-59-42.1000N,081-40-21.1000W,AIRPORT,Y-L,17/35,1,5000,100,ASPH-G,MED,75,108,,,F
MLB,028-06-09.9000N,080-38-42.9000W,AIRPORT,Y-L,09L/27R,3,6000,150,ASPH-E,MED,60,60,,,G
MLB,028-06-09.9000N,080-38-42.9000W,AIRPORT,Y-L,05/23,3,3001,75,ASPH-E,MED,26,,,,G
MLB,028-06-09.9000N,080-38-42.9000W,AIRPORT,Y-L,09R/27L,3,10181,150,ASPH-E,HIGH,100,165,300,,G
MIA,025-47-43.3000N,080-17-24.4200W,AIRPORT,Y-L,09/27,4,13016,150,ASPH-G,HIGH,130,210,420,850,G
MIA,025-47-43.3000N,080-17-24.4200W,AIRPORT,Y-L,08L/26R,4,8600,150,ASPH-G,HIGH,130,210,420,850,G
MIA,025-47-43.3000N,080-17-24.4200W,AIRPORT,Y-L,08R/26L,4,10506,200,ASPH-G,HIGH,130,210,420,850,G
MIA,025-47-43.3000N,080-17-24.4200W,AIRPORT,Y-L,12/30,4,9360,150,ASPH-G,HIGH,130,210,420,850,G
2R4,030-38-15.4300N,086-59-37.1500W,AIRPORT,Y-L,18/36,1,3701,75,ASPH-G,MED,22,,,,F
EVB,029-03-20.5000N,080-56-56.1000W,AIRPORT,Y-L,02/20,3,4000,100,ASPH-P,,55,,,,G
EVB,029-03-20.5000N,080-56-56.1000W,AIRPORT,Y-L,07/25,3,5000,75,ASPH-G,MED,55,,,,F
EVB,029-03-20.5000N,080-56-56.1000W,AIRPORT,Y-L,11/29,3,4319,75,ASPH-G,MED,55,,,,F
OCF,029-10-18.7600N,082-13-26.8100W,AIRPORT,Y-L,18/36,2,7467,150,ASPH-G,HIGH,111,181,328,,F
OCF,029-10-18.7600N,082-13-26.8100W,AIRPORT,Y-L,08/26,2,3009,50,ASPH-G,,30,,,,F
ISM,028-17-23.3000N,081-26-13.4900W,AIRPORT,Y-L,15/33,2,6001,100,ASPH-G,MED,114,189,300,,G
ISM,028-17-23.3000N,081-26-13.4900W,AIRPORT,Y-L,06/24,2,5001,100,ASPH-G,MED,89,140,,,F
MCO,028-25-45.8000N,081-18-32.4000W,AIRPORT,Y-L,17L/35R,4,9001,150,CONC-G,HIGH,75,210,420,900,G
MCO,028-25-45.8000N,081-18-32.4000W,AIRPORT,Y-L,17R/35L,4,10000,150,CONC-G,HIGH,75,210,400,,G
MCO,028-25-45.8000N,081-18-32.4000W,AIRPORT,Y-L,18L/36R,4,12005,200,ASPH-CONC-G,HIGH,165,200,400,,G
MCO,028-25-45.8000N,081-18-32.4000W,AIRPORT,Y-L,18R/36L,4,12004,200,ASPH-CONC-G,HIGH,100,200,400,,G
ORL,028-32-43.6600N,081-19-58.5500W,AIRPORT,Y-L,13/31,2,4625,100,ASPH-F,HIGH,35,60,,,F
ORL,028-32-43.6600N,081-19-58.5500W,AIRPORT,Y-L,07/25,2,6004,150,ASPH-F,HIGH,45,100,115,,G
ECP,030-21-29.6700N,085-47-44.1700W,AIRPORT,Y-L,16/34,1,10000,150,CONC-E,HIGH,100,155,400,750,G
SRQ,027-23-43.6000N,082-33-15.8000W,AIRPORT,Y-L,04/22,2,5006,150,ASPH-G,HIGH,120,219,404,,F
SRQ,027-23-43.6000N,082-33-15.8000W,AIRPORT,Y-L,14/32,2,9500,150,ASPH-F,HIGH,118,196,358,,F
SUA,027-10-54.1200N,080-13-16.6600W,AIRPORT,Y-L,16/34,3,5000,100,ASPH-E,,55,90,160,,G
SUA,027-10-54.1200N,080-13-16.6600W,AIRPORT,Y-L,07/25,3,4653,100,ASPH-F,MED,58,95,170,,G
SUA,027-10-54.1200N,080-13-16.6600W,AIRPORT,Y-L,12/30,3,5828,100,ASPH-G,MED,65,105,190,,G
TLH,030-23-48.3200N,084-21-03.1300W,AIRPORT,Y-L,09/27,2,8000,150,ASPH-G,HIGH,115,170,330,,G
TLH,030-23-48.3200N,084-21-03.1300W,AIRPORT,Y-L,18/36,2,7000,150,ASPH-P,HIGH,115,170,330,,F
X21,028-37-21.1900N,080-50-07.4700W,AIRPORT,Y-L,15/33,2,2961,70,ASPH-G,MED,12,,,,G
TIX,028-30-53.3000N,080-47-57.2000W,AIRPORT,Y-L,18/36,2,7319,150,ASPH-F,HIGH,80,110,190,,F
TIX,028-30-53.3000N,080-47-57.2000W,AIRPORT,Y-L,09/27,2,5000,100,ASPH-E,MED,50,80,,,F
VNC,027-04-16.5600N,082-26-24.1200W,AIRPORT,Y-L,05/23,2,5000,150,ASPH-G,MED,75,108,,,G
VNC,027-04-16.5600N,082-26-24.1200W,AIRPORT,Y-L,13/31,2,5640,150,ASPH-G,MED,75,108,,,G
X60,029-21-16.5800N,082-28-14.0300W,AIRPORT,Y-L,05/23,3,6669,100,CONC-G,HIGH,72,95,160,,F
X60,029-21-16.5800N,082-28-14.0300W,AIRPORT,Y-L,14/32,3,4979,60,ASPH-G,MED,38,,,,F
AHN,033-56-55.1100N,083-19-33.2900W,AIRPORT,Y,02/20,2,3995,100,ASPH-F,MED,40,45,,,P
AHN,033-56-55.1100N,083-19-33.2900W,AIRPORT,Y,09/27,2,6122,100,ASPH-E,HIGH,65,125,,,G
FFC,033-21-27.8000N,084-34-21.1000W,AIRPORT,Y-L,13/31,2,5768,100,ASPH-G,MED,48,60,,,F
PDK,033-52-33.6100N,084-18-07.3100W,AIRPORT,Y-L,03L/21R,4,3746,150,ASPH-F,MED,20,,,,G
PDK,033-52-33.6100N,084-18-07.3100W,AIRPORT,Y-L,03R/21L,4,6001,100,CONC-G,HIGH,46,75,,,G
PDK,033-52-33.6100N,084-18-07.3100W,AIRPORT,Y-L,16/34,4,3968,150,ASPH-F,MED,20,,,,F
DNL,033-27-59.7000N,082-02-21.8000W,AIRPORT,Y-L,11/29,2,3733,100,ASPH-G,MED,30,,,,G
DNL,033-27-59.7000N,082-02-21.8000W,AIRPORT,Y-L,05/23,2,4002,100,ASPH-G,MED,30,,,,G
AGS,033-22-11.8000N,081-57-52.2000W,AIRPORT,Y,17/35,2,8001,150,CONC-G,HIGH,155,160,450,975,G
AGS,033-22-11.8000N,081-57-52.2000W,AIRPORT,Y,08/26,2,6002,75,ASPH-E,MED,52,71,126,,G
18A,034-20-25.3000N,083-07-50.9000W,AIRPORT,Y-L,08/26,1,5000,75,ASPH-G,MED,15,,,,G
CNI,034-18-43.9900N,084-25-19.7500W,AIRPORT,Y-L,05/23,1,5003,75,ASPH-G,MED,26,,,,G
CTJ,033-37-54.1100N,085-09-08.1500W,AIRPORT,Y-L,17/35,1,5503,100,ASPH-G,HIGH,43,56,83,,G
48A,032-24-02.3700N,083-16-42.2600W,AIRPORT,Y-L,05/23,2,3202,50,ASPH-F,,25,,,,G
HMP,033-23-23.6500N,084-19-51.7300W,AIRPORT,Y-L,06/24,1,5509,100,ASPH-G,MED,30,45,,,G
AZE,031-53-06.6800N,082-38-52.4100W,AIRPORT,Y-L,14/32,1,5012,75,ASPH-G,MED,30,,,,G
JZP,034-27-12.5000N,084-27-26.0000W,AIRPORT,Y-L,16/34,1,5000,100,ASPH-F,MED,60,95,,,F
09J,031-04-28.1000N,081-25-40.0000W,AIRPORT,Y-L,18/36,1,3715,75,ASPH-G,MED,20,,,,G
LZU,033-58-41.1300N,083-57-44.5100W,AIRPORT,Y-L,07/25,1,6001,100,ASPH-G,HIGH,93,120,,,G
SAV,032-07-39.3000N,081-12-07.7000W,AIRPORT,Y-L,10/28,2,9351,150,CONC-G,HIGH,75,190,310,,G
SAV,032-07-39.3000N,081-12-07.7000W,AIRPORT,Y-L,01/19,2,7002,150,CONC-G,HIGH,75,190,310,,G
OPN,032-57-18.0100N,084-15-50.7100W,AIRPORT,Y-L,12/30,1,6350,100,ASPH-G,MED,20,50,,,G
VDI,032-11-33.8000N,082-22-16.2000W,AIRPORT,Y-L,07/25,2,6002,100,CONC-F,HIGH,30,48,85,,F
VDI,032-11-33.8000N,082-22-16.2000W,AIRPORT,Y-L,14/32,2,5002,75,CONC-G,,30,48,85,,G
WDR,033-58-57.6800N,083-40-01.9800W,AIRPORT,Y-L,05/23,2,3607,100,ASPH-G,MED,20,,,,G
WDR,033-58-57.6800N,083-40-01.9800W,AIRPORT,Y-L,13/31,2,5202,100,ASPH-G,HIGH,20,,,,G
BOI,043-33-51.7000N,116-13-22.3000W,AIRPORT,Y-L,10L/28R,2,10000,150,ASPH-G,HIGH,100,210,446,947,G
BOI,043-33-51.7000N,116-13-22.3000W,AIRPORT,Y-L,10R/28L,2,9763,150,ASPH-G,HIGH,100,210,430,994,G
65S,048-43-33.5000N,116-17-42.6000W,AIRPORT,Y-L,02/20,1,4002,75,ASPH-G,MED,25,,,,G
LLJ,044-31-24.9800N,114-13-04.5800W,AIRPORT,Y-L,17/35,1,4601,60,ASPH-E,MED,30,,,,G
COE,047-46-27.5000N,116-49-10.5000W,AIRPORT,Y-L,02/20,2,5400,75,ASPH-G,MED,50,83,150,,G
COE,047-46-27.5000N,116-49-10.5000W,AIRPORT,Y-L,06/24,2,7400,100,ASPH-G,HIGH,57,95,165,,G
GIC,045-56-33.6000N,116-07-22.9000W,AIRPORT,Y-L,08/26,1,5101,75,ASPH-E,MED,75,95,145,,G
SUN,043-30-13.6100N,114-17-44.0100W,AIRPORT,Y-L,13/31,1,7550,100,ASPH-G,HIGH,65,95,150,,G
IDA,043-30-49.2200N,112-04-14.9500W,AIRPORT,Y-L,03/21,2,9002,150,ASPH-G,HIGH,140,175,270,,G
IDA,043-30-49.2200N,112-04-14.9500W,AIRPORT,Y-L,17/35,2,3964,75,ASPH-G,MED,43,58,,,G
JER,042-43-36.0600N,114-27-23.9300W,AIRPORT,Y-L,09/27,1,5002,75,ASPH-E,MED,20,,,,G
LWS,046-22-28.1900N,117-00-55.4300W,AIRPORT,Y-L,12/30,2,5003,75,ASPH-E,MED,118,196,,,G
LWS,046-22-28.1900N,117-00-55.4300W,AIRPORT,Y-L,08/26,2,6511,150,ASPH-E,HIGH,150,180,400,,G
MYL,044-53-19.4800N,116-06-06.3100W,AIRPORT,Y-L,16/34,1,6101,75,ASPH-G,MED,86,141,261,,G
MAN,043-34-52.8300N,116-31-23.0300W,AIRPORT,Y-L,11/29,1,5000,75,ASPH-G,MED,26,50,60,,F
PIH,042-54-35.2500N,112-35-45.3100W,AIRPORT,Y-L,03/21,2,9059,150,ASPH-G,HIGH,100,160,265,,G
PIH,042-54-35.2500N,112-35-45.3100W,AIRPORT,Y-L,17/35,2,7150,100,ASPH-G,MED,74,110,199,,F
U10,042-06-24.9700N,111-54-45.2500W,AIRPORT,Y-L,04/22,2,3558,60,ASPH-G,MED,12,,,,G
SMN,045-07-23.8000N,113-52-53.2000W,AIRPORT,Y-L,17/35,1,5510,75,ASPH-G,MED,12,,,,G
SZT,048-17-58.3000N,116-33-36.5000W,AIRPORT,Y-L,02/20,1,5501,75,ASPH-G,MED,40,,,,G
TWF,042-28-54.5100N,114-29-15.8500W,AIRPORT,Y-L,08/26,2,8704,150,ASPH-G,HIGH,75,200,250,,G
TWF,042-28-54.5100N,114-29-15.8500W,AIRPORT,Y-L,12/30,2,3224,75,ASPH-F,,19,,,,G
CPS,038-34-13.3000N,090-09-18.3000W,AIRPORT,Y-L,05/23,3,2799,75,ASPH-F,MED,12,,,,F
CPS,038-34-13.3000N,090-09-18.3000W,AIRPORT,Y-L,12L/30R,3,5301,75,CONC-F,MED,30,30,,,F
CPS,038-34-13.3000N,090-09-18.3000W,AIRPORT,Y-L,12R/30L,3,7002,150,ASPH-E,HIGH,65,95,175,,G
UGN,042-25-19.7300N,087-52-04.5000W,AIRPORT,Y-L,05/23,2,6001,150,ASPH-G,HIGH,95,120,200,,G
UGN,042-25-19.7300N,087-52-04.5000W,AIRPORT,Y-L,14/32,2,3750,75,ASPH-G,MED,16,23,,,G
DPA,041-54-25.3900N,088-14-52.7800W,AIRPORT,Y-L,02R/20L,4,6451,100,CONC-G,MED,30,45,,,G
DPA,041-54-25.3900N,088-14-52.7800W,AIRPORT,Y-L,15/33,4,3399,100,ASPH-G,MED,30,45,100,,G
DPA,041-54-25.3900N,088-14-52.7800W,AIRPORT,Y-L,10/28,4,4750,75,ASPH-G,HIGH,30,45,,,G
DPA,041-54-25.3900N,088-14-52.7800W,AIRPORT,Y-L,02L/20R,4,7571,150,CONC-G,HIGH,30,45,,,G
MLI,041-26-53.5500N,090-30-27.9700W,AIRPORT,Y-L,05/23,3,3515,150,CONC-G,MED,60,75,120,,F
MLI,041-26-53.5500N,090-30-27.9700W,AIRPORT,Y-L,09/27,3,10002,150,CONC-G,HIGH,100,173,353,,G
MLI,041-26-53.5500N,090-30-27.9700W,AIRPORT,Y-L,13/31,3,7301,150,ASPH-CONC-G,HIGH,60,140,200,,G
PIA,040-39-51.1000N,089-41-35.7000W,AIRPORT,Y-L,13/31,2,10104,150,CONC-G,HIGH,100,175,310,,G
PIA,040-39-51.1000N,089-41-35.7000W,AIRPORT,Y-L,04/22,2,8004,150,ASPH-F,HIGH,100,175,300,,F
RFD,042-11-43.3000N,089-05-50.0000W,AIRPORT,Y-L,07/25,2,10002,150,ASPH-CONC-G,HIGH,100,190,360,850,G
RFD,042-11-43.3000N,089-05-50.0000W,AIRPORT,Y-L,01/19,2,8200,150,ASPH-CONC-G,HIGH,100,210,390,850,G
SPI,039-50-40.6100N,089-40-39.1700W,AIRPORT,Y-L,13/31,2,7400,150,ASPH-F,HIGH,70,90,160,,G
SPI,039-50-40.6100N,089-40-39.1700W,AIRPORT,Y-L,04/22,2,8001,150,CONC-F,HIGH,100,200,350,,G
BAK,039-15-42.8900N,085-53-46.8200W,AIRPORT,Y-L,05/23,2,6401,150,CONC-E,HIGH,75,130,200,,G
BAK,039-15-42.8900N,085-53-46.8200W,AIRPORT,Y-L,14/32,2,5000,100,CONC-E,MED,120,171,290,735,G
EVV,038-02-26.9000N,087-31-42.6000W,AIRPORT,Y-L,04/22,3,8021,150,ASPH-G,HIGH,100,175,300,,G
EVV,038-02-26.9000N,087-31-42.6000W,AIRPORT,Y-L,09/27,3,3497,75,ASPH-G,MED,30,40,60,,G
EVV,038-02-26.9000N,087-31-42.6000W,AIRPORT,Y-L,18/36,3,6286,150,ASPH-G,HIGH,100,175,300,,G
GYY,041-37-02.1000N,087-24-52.3000W,AIRPORT,Y-L,02/20,2,3604,100,ASPH-F,MED,18,28,,,F
GYY,041-37-02.1000N,087-24-52.3000W,AIRPORT,Y-L,12/30,2,8859,150,CONC-G,HIGH,75,157,175,250,G
IND,039-43-02.3000N,086-17-40.7000W,AIRPORT,Y-L,05L/23R,3,11200,150,CONC-G,HIGH,145,300,550,,G
IND,039-43-02.3000N,086-17-40.7000W,AIRPORT,Y-L,05R/23L,3,10000,150,CONC-G,HIGH,145,300,550,,G
IND,039-43-02.3000N,086-17-40.7000W,AIRPORT,Y-L,14/32,3,7278,150,ASPH-G,HIGH,145,300,550,,G
LAF,040-24-44.3000N,086-56-12.8000W,AIRPORT,Y-L,10/28,2,6600,150,ASPH-G,HIGH,90,110,165,,F
LAF,040-24-44.3000N,086-56-12.8000W,AIRPORT,Y-L,05/23,2,4225,100,ASPH-G,MED,48,58,90,,F
RID,039-45-21.9000N,084-50-33.7000W,AIRPORT,Y-L,15/33,2,4999,100,ASPH-F,MED,30,40,60,,G
RID,039-45-21.9000N,084-50-33.7000W,AIRPORT,Y-L,06/24,2,5502,150,ASPH-E,MED,30,40,60,,G
DBQ,042-24-07.2000N,090-42-34.1000W,AIRPORT,Y-L,13/31,2,6502,100,CONC-G,HIGH,75,125,215,,G
DBQ,042-24-07.2000N,090-42-34.1000W,AIRPORT,Y-L,18/36,2,6327,150,CONC-G,HIGH,75,173,275,,G
GCK,037-55-39.1000N,100-43-27.9000W,AIRPORT,Y-L,17/35,2,7299,100,CONC-G,HIGH,76,91,125,,G
GCK,037-55-39.1000N,100-43-27.9000W,AIRPORT,Y-L,12/30,2,5700,100,CONC-G,MED,48,60,,,G
HUT,038-03-58.1600N,097-51-37.7600W,AIRPORT,Y-L,17/35,3,4012,75,CONC-E,MED,43,58,76,,G
HUT,038-03-58.1600N,097-51-37.7600W,AIRPORT,Y-L,13/31,3,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,038-03-58.1600N,097-51-37.7600W,AIRPORT,Y-L,04/22,3,4405,100,ASPH-F,MED,42,52,76,,G
LBL,037-02-38.1200N,100-57-35.8900W,AIRPORT,Y-L,17/35,2,7105,100,CONC-E,HIGH,80,100,,,G
LBL,037-02-38.1200N,100-57-35.8900W,AIRPORT,Y-L,04/22,2,5000,75,CONC-E,MED,30,60,,,G
EWK,038-03-25.5700N,097-16-30.8200W,AIRPORT,Y-L,17/35,2,7003,100,CONC-G,HIGH,50,75,135,,G
EWK,038-03-25.5700N,097-16-30.8200W,AIRPORT,Y-L,08/26,2,3501,60,ASPH-G,MED,13,,,,G
TOP,039-04-07.7600N,095-37-20.5500W,AIRPORT,Y-L,18/36,2,4331,75,ASPH-G,MED,60,80,96,,F
TOP,039-04-07.7600N,095-37-20.5500W,AIRPORT,Y-L,13/31,2,5099,100,ASPH-G,HIGH,50,72,110,,G
ICT,037-38-59.8300N,097-25-58.9500W,AIRPORT,Y-L,01R/19L,3,7302,150,CONC-G,HIGH,125,240,400,,G
ICT,037-38-59.8300N,097-25-58.9500W,AIRPORT,Y-L,14/32,3,6301,150,CONC-G,HIGH,100,190,280,,G
ICT,037-38-59.8300N,097-25-58.9500W,AIRPORT,Y-L,01L/19R,3,10302,150,CONC-G,HIGH,100,210,300,,G
AAO,037-44-51.2700N,097-13-16.0200W,AIRPORT,Y-L,18/36,1,6101,100,CONC-G,MED,40,62,,,G
BWG,036-57-52.3000N,086-25-10.8000W,AIRPORT,Y-L,12/30,2,3956,150,ASPH-P,MED,25,40,,,G
BWG,036-57-52.3000N,086-25-10.8000W,AIRPORT,Y-L,03/21,2,6501,150,ASPH-G,HIGH,120,221,358,,F
FFT,038-10-54.2300N,084-54-24.3000W,AIRPORT,Y,07/25,1,5506,100,ASPH-G,MED,76,100,82,,G
GLW,037-01-54.4000N,085-57-13.5200W,AIRPORT,Y-L,08/26,1,5302,100,ASPH-G,MED,43,62,,,G
LOZ,037-05-12.8000N,084-04-38.6000W,AIRPORT,Y,06/24,1,5751,150,ASPH-G,MED,61,82,151,,G
2I0,037-21-21.3400N,087-23-53.5900W,AIRPORT,Y-L,05/23,1,6051,100,ASPH-F,HIGH,92,127,,,F
M25,036-46-10.7000N,088-35-04.8000W,AIRPORT,Y-L,01/19,1,5002,100,ASPH-F,MED,16,,,,P
EKQ,036-51-19.0000N,084-51-22.1000W,AIRPORT,Y-L,03/21,1,4000,75,ASPH-G,MED,12,,,,P
IOB,038-03-29.3000N,083-58-46.5000W,AIRPORT,Y-L,03/21,1,5000,75,ASPH-G,MED,20,,,,G
PAH,037-03-37.0400N,088-46-22.6500W,AIRPORT,Y-L,05/23,2,6500,150,ASPH-G,HIGH,76,99,170,,G
PAH,037-03-37.0400N,088-46-22.6500W,AIRPORT,Y-L,14/32,2,5499,150,ASPH-G,MED,75,100,170,,G
SJS,037-45-03.6700N,082-38-12.0700W,AIRPORT,Y-L,03/21,1,5000,100,ASPH-E,MED,19,,,,G
HUM,029-33-59.4100N,090-39-37.5400W,AIRPORT,Y-L,18/36,2,6508,150,CONC-G,MED,116,224,406,907,G
HUM,029-33-59.4100N,090-39-37.5400W,AIRPORT,Y-L,12/30,2,4999,185,CONC-G,MED,50,70,137,,G
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L,11/29,3,5400,148,ASPH-G,MED,85,110,175,,G
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L,04R/22L,3,8000,150,ASPH-G,HIGH,140,170,290,,G
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L,04L/22R,3,4099,75,ASPH-F,MED,25,32,,,F
MLU,032-30-38.0000N,092-02-10.0800W,AIRPORT,Y-L,14/32,2,6301,150,ASPH-G,MED,75,170,290,,G
MLU,032-30-38.0000N,092-02-10.0800W,AIRPORT,Y-L,04/22,2,7504,150,ASPH-G,HIGH,75,170,290,,G
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L,18L/36R,3,3697,75,ASPH-G,MED,35,55,80,,G
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L,18R/36L,3,6879,150,ASPH-G,MED,60,175,200,350,G
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L,09/27,3,3114,75,ASPH-F,MED,50,80,100,,G
SHV,032-26-47.4600N,093-49-33.7400W,AIRPORT,Y-L,14/32,2,8348,200,ASPH-E,HIGH,75,190,400,,G
SHV,032-26-47.4600N,093-49-33.7400W,AIRPORT,Y-L,06/24,2,7003,150,ASPH-E,MED,75,158,280,,G
TVR,032-21-05.8000N,091-01-39.6800W,AIRPORT,Y-L,18/36,1,5002,100,ASPH-G,MED,60,75,,,G
BGR,044-48-26.8000N,068-49-41.3000W,AIRPORT,Y-L,15/33,2,11440,200,ASPH-G,HIGH,100,210,400,,G
RKD,044-03-36.5100N,069-05-58.8100W,AIRPORT,Y-L,03/21,2,4000,100,ASPH-G,MED,65,80,,,G
RKD,044-03-36.5100N,069-05-58.8100W,AIRPORT,Y-L,13/31,2,5412,100,ASPH-E,HIGH,65,80,,,G
SFM,043-23-37.7000N,070-42-28.8000W,AIRPORT,Y-L,07/25,2,6389,100,ASPH-G,HIGH,65,100,,,G
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L,10/28,3,10503,150,ASPH-G,HIGH,80,220,1020,1340,G
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L,15L/33R,3,5000,100,ASPH-F,HIGH,30,45,,,G
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L,15R/33L,3,9501,150,ASPH-G,HIGH,80,220,675,890,G
FDK,039-25-01.2800N,077-22-29.0400W,AIRPORT,Y-L,05/23,2,5819,100,ASPH-G,HIGH,60,,,,G
AQW,042-41-46.5100N,073-10-13.9900W,AIRPORT,Y-L,11/29,1,4300,100,ASPH-E,MED,25,,,,G
OWD,042-11-25.9000N,071-10-22.6000W,AIRPORT,Y-L,10/28,2,3995,75,ASPH-G,,58,69,,,G
OWD,042-11-25.9000N,071-10-22.6000W,AIRPORT,Y-L,17/35,2,4007,100,ASPH-G,MED,58,69,,,G
GLR,045-00-46.9000N,084-42-12.4000W,AIRPORT,Y-L,18/36,2,4200,75,ASPH-G,MED,12,,,,F
OZW,042-37-45.9400N,083-58-55.9000W,AIRPORT,Y-L,13/31,1,5002,100,CONC-G,HIGH,100,,,,F
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L,10R/28L,3,8506,150,ASPH-G,HIGH,100,175,300,,G
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L,06/24,3,5003,120,ASPH-F,MED,45,65,100,,G
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L,10L/28R,3,3601,75,ASPH-F,,12,,,,F
SAW,046-20-56.9700N,087-23-46.9400W,AIRPORT,Y-L,01/19,1,9072,150,ASPH-G,HIGH,114,181,317,741,F
OSC,044-27-05.5000N,083-23-39.0000W,AIRPORT,Y-L,07/25,1,11800,200,ASPH-G,HIGH,155,330,550,,G
PLN,045-34-15.3000N,084-47-48.2000W,AIRPORT,Y-L,05/23,2,5401,150,ASPH-G,MED,76,115,215,,F
PLN,045-34-15.3000N,084-47-48.2000W,AIRPORT,Y-L,14/32,2,6513,150,ASPH-G,HIGH,76,115,215,,F
LWA,042-21-04.7800N,086-15-20.6600W,AIRPORT,Y-L,05/23,2,4800,75,ASPH-G,MED,12,,,,G
TVC,044-44-29.6800N,085-34-54.7300W,AIRPORT,Y-L,10/28,2,7016,150,ASPH-F,HIGH,120,230,440,,G
TVC,044-44-29.6800N,085-34-54.7300W,AIRPORT,Y-L,18/36,2,5378,150,ASPH-F,MED,70,110,190,,G
AIT,046-32-54.4600N,093-40-35.8800W,AIRPORT,Y-L,16/34,2,4000,75,ASPH-F,MED,12,,,,G
AUM,043-39-45.5000N,092-55-58.5000W,AIRPORT,Y-L,17/35,1,5800,100,CONC-G,HIGH,100,135,,,G
BJI,047-30-38.6000N,094-56-05.0000W,AIRPORT,Y-L,13/31,2,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,047-30-38.6000N,094-56-05.0000W,AIRPORT,Y-L,07/25,2,5700,150,ASPH-E,MED,75,200,,,G
BRD,046-24-15.2000N,094-08-01.7000W,AIRPORT,Y-L,05/23,3,6512,150,CONC-G,HIGH,75,125,220,,G
BRD,046-24-15.2000N,094-08-01.7000W,AIRPORT,Y-L,16/34,3,7100,150,CONC-E,HIGH,75,125,220,,G
COQ,046-42-04.0000N,092-30-12.8000W,AIRPORT,Y-L,18/36,2,4002,75,ASPH-F,MED,8,12,,,G
DLH,046-50-31.4500N,092-11-35.6500W,AIRPORT,Y,03/21,2,5719,150,ASPH-G,MED,52,100,361,,G
DLH,046-50-31.4500N,092-11-35.6500W,AIRPORT,Y,09/27,2,10591,150,CONC-F,HIGH,94,180,650,,G
ELO,047-49-26.4500N,091-49-45.5500W,AIRPORT,Y-L,12/30,1,5596,100,ASPH-G,MED,99,159,,,G
GPZ,047-12-33.4200N,093-30-35.8000W,AIRPORT,Y-L,16/34,2,5756,100,ASPH-G,HIGH,23,38,78,,G
GPZ,047-12-33.4200N,093-30-35.8000W,AIRPORT,Y-L,05/23,2,3000,60,ASPH-G,MED,125,,,,G
HIB,047-23-11.6700N,092-50-20.3200W,AIRPORT,Y-L,13/31,2,6758,150,ASPH-E,HIGH,60,100,160,,G
HIB,047-23-11.6700N,092-50-20.3200W,AIRPORT,Y-L,04/22,2,3075,75,ASPH-E,,35,45,,,G
INL,048-33-56.1200N,093-24-07.8500W,AIRPORT,Y,04/22,2,2999,75,ASPH-F,,12,,,,F
INL,048-33-56.1200N,093-24-07.8500W,AIRPORT,Y,13/31,2,7400,150,ASPH-G,HIGH,100,125,190,,G
MKT,044-13-22.0000N,093-55-09.5000W,AIRPORT,Y-L,04/22,2,4000,75,ASPH-G,MED,18,25,,,G
MKT,044-13-22.0000N,093-55-09.5000W,AIRPORT,Y-L,15/33,2,6600,100,CONC-G,HIGH,60,120,155,237,G
