Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
EGE,DEC-MAR/ALL/0700-2300,07/25,2,9000,150,ASPH-E,HIGH,75,140,255,,G
EGE,APR-NOV/ALL/0700-1900,07/25,2,9000,150,ASPH-E,HIGH,75,140,255,,G
FNL,ALL/ALL/ALL,15/33,2,8500,100,ASPH-G,HIGH,50,65,130,,G
FMM,ALL/MON-SAT/0800-1700,14/32,3,5731,75,ASPH-G,MED,30,,,,G
GNB,UNATNDD,09/27,1,5001,75,ASPH-F,LOW,15,15,,,P
GJT,ALL/ALL/0530-0000L,11/29,2,10503,150,ASPH-E,HIGH,110,180,260,,F
GJT,ALL/ALL/0530-0000L,04/22,2,5501,75,ASPH-G,MED,26,26,,,F
HDN,ALL/ALL/0600-2000,10/28,1,10000,150,ASPH-G,HIGH,75,170,260,,G
MVI,ALL/SAT-SUN/ON-CALL,02/20,3,5902,60,ASPH-F,MED,12,,,,F
MVI,ALL/MON-FRI/0800-1700,02/20,3,5902,60,ASPH-F,MED,12,,,,F
MTJ,DEC16-MAR31/ALL/0500-2100,17/35,2,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,APR1-DEC15/ALL/0530-2100,17/35,2,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,DEC16-MAR31/ALL/0500-2100,13/31,2,7510,100,ASPH-G,HIGH,65,90,150,,G
MTJ,APR1-DEC15/ALL/0530-2100,13/31,2,7510,100,ASPH-G,HIGH,65,90,150,,G
PUB,ALL/ALL/0500-2200,08L/26R,3,4690,75,ASPH-G,MED,20,,,,G
PUB,ALL/ALL/0500-2200,17/35,3,8310,150,ASPH-G,MED,93,110,170,,G
PUB,ALL/ALL/0500-2200,08R/26L,3,10498,150,ASPH-G,HIGH,75,170,250,,G
RIL,ALL/ALL/ALL,08/26,1,7000,100,ASPH-G,HIGH,90,200,250,,G
SBS,NOV-APR/ALL/0700-1700,14/32,1,4452,100,ASPH-G,HIGH,50,60,,,F
SBS,MAY-OCT/ALL/0700-1700,14/32,1,4452,100,ASPH-G,HIGH,50,60,,,F
BDR,ALL/ALL/0600-2400,11/29,2,4759,150,ASPH-F,HIGH,30,108,,,F
BDR,ALL/ALL/0600-2400,06/24,2,4677,100,ASPH-E,HIGH,57,80,,,G
GON,"ALL/ALL/0600- 2100",05/23,2,5000,150,ASPH-G,HIGH,90,113,200,,G
GON,"ALL/ALL/0600- 2100",15/33,2,4000,96,ASPH-G,HIGH,90,113,,,G
BDL,ALL/ALL/ALL,15/33,2,6847,150,ASPH-E,HIGH,200,200,350,,G
BDL,ALL/ALL/ALL,06/24,2,9510,200,ASPH-E,HIGH,200,200,350,710,G
IAD,ALL/ALL/ALL,01R/19L,4,11500,150,CONC-G,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,01C/19C,4,11500,150,CONC-E,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,12/30,4,10501,150,CONC-G,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,01L/19R,4,9400,150,CONC-E,HIGH,200,250,450,875,G
HEF,ALL/ALL/0630-2230,16L/34R,2,6200,100,ASPH-G,HIGH,50,140,,,G
HEF,ALL/ALL/0630-2230,16R/34L,2,3715,75,ASPH-E,MED,12,,,,G
BOW,ALL/ALL/0600-1800,05/23,3,5000,100,ASPH-P,MED,35,60,110,,G
BCT,ALL/ALL/ALL,05/23,1,6276,150,ASPH-G,MED,66,95,,,F
BKV,ALL/ALL/0600-2200,09/27,2,7001,150,CONC-G,MED,90,130,230,,G
BKV,ALL/ALL/0600-2200,03/21,2,5014,150,CONC-G,MED,50,75,135,,G
CEW,ALL/ALL/0600-2000,17/35,1,8006,150,ASPH-F,HIGH,60,120,170,,G
FLL,ALL/ALL/ALL,10L/28R,2,9000,150,ASPH-CONC-E,HIGH,100,200,468,800,G
FLL,ALL/ALL/ALL,10R/28L,2,8000,150,CONC-E,HIGH,120,247,461,987,G
FXE,ALL/ALL/ALL,13/31,2,4000,100,ASPH-G,MED,30,60,,,G
FXE,ALL/ALL/ALL,09/27,2,6002,100,ASPH-G,HIGH,56,81,,,G
RSW,ALL/ALL/0700-0100,06/24,1,12000,150,ASPH-F,HIGH,120,250,538,1045,G
FPR,ALL/ALL/0700-2100,10R/28L,3,6492,150,ASPH-F,MED,50,110,230,,G
FPR,ALL/ALL/0700-2100,14/32,3,4755,100,ASPH-E,MED,15,,,,G
FPR,ALL/ALL/0700-2100,10L/28R,3,4000,75,ASPH-G,MED,15,,,,G
JAX,ALL/ALL/ALL,14/32,2,7701,150,CONC-G,HIGH,120,250,480,1000,G
JAX,ALL/ALL/ALL,08/26,2,10000,150,CONC-G,HIGH,120,250,485,1005,F
CRG,ALL/SAT-SUN/0700-2200,14/32,2,4008,100,ASPH-E,HIGH,30,,,,F
CRG,ALL/MON-FRI/0600-2300,14/32,2,4008,100,ASPH-E,HIGH,30,,,,F
CRG,ALL/SAT-SUN/0700-2200,05/23,2,4004,100,ASPH-F,MED,30,,,,F
CRG,ALL/MON-FRI/0600-2300,05/23,2,4004,100,ASPH-F,MED,30,,,,F
EYW,ALL/ALL/0700-2300,09/27,1,5076,100,ASPH-E,MED,75,125,195,,F
LCQ,ALL/ALL/0800-1800,10/28,2,8003,150,ASPH-E,MED,75,105,250,,G
LAL,ALL/ALL/ALL,05/23,3,5000,150,ASPH-F,HIGH,94,150,,,G
LAL,ALL/ALL/ALL,10/28,3,8500,150,ASPH-E,HIGH,50,250,550,1120,G
MKY,ALL/ALL/0700-1900,17/35,1,5000,100,ASPH-G,MED,75,108,,,F
MLB,ALL/ALL/ALL,09L/27R,3,6000,150,ASPH-E,MED,60,60,,,G
MLB,ALL/ALL/ALL,05/23,3,3001,75,ASPH-E,MED,26,,,,G
MLB,ALL/ALL/ALL,09R/27L,3,10181,150,ASPH-E,HIGH,100,165,300,,G
MIA,ALL/ALL/ALL,09/27,4,13016,150,ASPH-G,HIGH,130,210,420,850,G
MIA,ALL/ALL/ALL,08L/26R,4,8600,150,ASPH-G,HIGH,130,210,420,850,G
MIA,ALL/ALL/ALL,08R/26L,4,10506,200,ASPH-G,HIGH,130,210,420,850,G
MIA,ALL/ALL/ALL,12/30,4,9360,150,ASPH-G,HIGH,130,210,420,850,G
2R4,ALL/ALL/0700-DUSK,18/36,1,3701,75,ASPH-G,MED,22,,,,F
EVB,ALL/ALL/0700-2200,02/20,3,4000,100,ASPH-P,,55,,,,G
EVB,ALL/ALL/0700-2200,07/25,3,5000,75,ASPH-G,MED,55,,,,F
EVB,ALL/ALL/0700-2200,11/29,3,4319,75,ASPH-G,MED,55,,,,F
OCF,ALL/ALL/0600-2100,18/36,2,7467,150,ASPH-G,HIGH,111,181,328,,F
OCF,ALL/ALL/0600-2100,08/26,2,3009,50,ASPH-G,,30,,,,F
ISM,ALL/ALL/0700-2200,15/33,2,6001,100,ASPH-G,MED,114,189,300,,G
ISM,ALL/ALL/0700-2200,06/24,2,5001,100,ASPH-G,MED,89,140,,,F
MCO,ALL/ALL/ALL,17L/35R,4,9001,150,CONC-G,HIGH,75,210,420,900,G
MCO,ALL/ALL/ALL,17R/35L,4,10000,150,CONC-G,HIGH,75,210,400,,G
MCO,ALL/ALL/ALL,18L/36R,4,12005,200,ASPH-CONC-G,HIGH,165,200,400,,G
MCO,ALL/ALL/ALL,18R/36L,4,12004,200,ASPH-CONC-G,HIGH,100,200,400,,G
ORL,ALL/ALL/ALL,13/31,2,4625,100,ASPH-F,HIGH,35,60,,,F
ORL,ALL/ALL/ALL,07/25,2,6004,150,ASPH-F,HIGH,45,100,115,,G
ECP,ALL/ALL/ALL,16/34,1,10000,150,CONC-E,HIGH,100,155,400,750,G
SRQ,ALL/ALL/ALL,04/22,2,5006,150,ASPH-G,HIGH,120,219,404,,F
SRQ,ALL/ALL/ALL,14/32,2,9500,150,ASPH-F,HIGH,118,196,358,,F
SUA,ALL/ALL/0800-2300,16/34,3,5000,100,ASPH-E,,55,90,160,,G
SUA,ALL/ALL/0800-2300,07/25,3,4653,100,ASPH-F,MED,58,95,170,,G
SUA,ALL/ALL/0800-2300,12/30,3,5828,100,ASPH-G,MED,65,105,190,,G
TLH,ALL/ALL/ALL,09/27,2,8000,150,ASPH-G,HIGH,115,170,330,,G
TLH,ALL/ALL/ALL,18/36,2,7000,150,ASPH-P,HIGH,115,170,330,,F
X21,ALL/ALL/0800-2000,15/33,2,2961,70,ASPH-G,MED,12,,,,G
TIX,ALL/ALL/0700-2100,18/36,2,7319,150,ASPH-F,HIGH,80,110,190,,F
TIX,ALL/ALL/0700-2100,09/27,2,5000,100,ASPH-E,MED,50,80,,,F
VNC,ALL/ALL/0700-1900,05/23,2,5000,150,ASPH-G,MED,75,108,,,G
VNC,ALL/ALL/0700-1900,13/31,2,5640,150,ASPH-G,MED,75,108,,,G
X60,ALL/ALL/0730-1730,05/23,3,6669,100,CONC-G,HIGH,72,95,160,,F
X60,ALL/ALL/0730-1730,14/32,3,4979,60,ASPH-G,MED,38,,,,F
AHN,ALL/ALL/0600-2100,02/20,2,3995,100,ASPH-F,MED,40,45,,,P
AHN,ALL/ALL/0600-2100,09/27,2,6122,100,ASPH-E,HIGH,65,125,,,G
FFC,NOVEMBER/26/0700-1200,13/31,2,5768,100,ASPH-G,MED,48,60,,,F
FFC,DECEMBER/25/CLSD,13/31,2,5768,100,ASPH-G,MED,48,60,,,F
FFC,ALL/ALL/0700-2000,13/31,2,5768,100,ASPH-G,MED,48,60,,,F
FFC,DECEMBER/24/0700-1200,13/31,2,5768,100,ASPH-G,MED,48,60,,,F
PDK,ALL/ALL/ALL,03L/21R,4,3746,150,ASPH-F,MED,20,,,,G
PDK,ALL/ALL/ALL,03R/21L,4,6001,100,CONC-G,HIGH,46,75,,,G
PDK,ALL/ALL/ALL,16/34,4,3968,150,ASPH-F,MED,20,,,,F
DNL,ALL/ALL/0700-DUSK,11/29,2,3733,100,ASPH-G,MED,30,,,,G
DNL,ALL/ALL/0700-DUSK,05/23,2,4002,100,ASPH-G,MED,30,,,,G
AGS,ALL/ALL/ALL,17/35,2,8001,150,CONC-G,HIGH,155,160,450,975,G
AGS,ALL/ALL/ALL,08/26,2,6002,75,ASPH-E,MED,52,71,126,,G
18A,UNATNDD,08/26,1,5000,75,ASPH-G,MED,15,,,,G
CNI,ALL/ALL/0800-1800,05/23,1,5003,75,ASPH-G,MED,26,,,,G
CTJ,ALL/SUN/1300-1700,17/35,1,5503,100,ASPH-G,HIGH,43,56,83,,G
CTJ,ALL/MON-SAT/0800-1800,17/35,1,5503,100,ASPH-G,HIGH,43,56,83,,G
48A,ALL/MON-SAT/0800-1200,05/23,2,3202,50,ASPH-F,,25,,,,G
HMP,ALL/MON-FRI/0800-1700,06/24,1,5509,100,ASPH-G,MED,30,45,,,G
AZE,ALL/MON-FRI/0800-1700,14/32,1,5012,75,ASPH-G,MED,30,,,,G
JZP,ALL/ALL/0900-1800,16/34,1,5000,100,ASPH-F,MED,60,95,,,F
09J,ALL/ALL/0900-1600,18/36,1,3715,75,ASPH-G,MED,20,,,,G
LZU,ALL/ALL/ALL,07/25,1,6001,100,ASPH-G,HIGH,93,120,,,G
SAV,ALL/ALL/0600-2300,10/28,2,9351,150,CONC-G,HIGH,75,190,310,,G
SAV,ALL/ALL/0600-2300,01/19,2,7002,150,CONC-G,HIGH,75,190,310,,G
OPN,ALL/ALL/0800-1800,12/30,1,6350,100,ASPH-G,MED,20,50,,,G
VDI,ALL/ALL/0800-1800,07/25,2,6002,100,CONC-F,HIGH,30,48,85,,F
VDI,ALL/ALL/0800-1800,14/32,2,5002,75,CONC-G,,30,48,85,,G
WDR,ALL/SAT/0900-1700,05/23,2,3607,100,ASPH-G,MED,20,,,,G
WDR,ALL/M-F/0900-1800,05/23,2,3607,100,ASPH-G,MED,20,,,,G
WDR,ALL/SUN/1100-1700,05/23,2,3607,100,ASPH-G,MED,20,,,,G
WDR,ALL/SAT/0900-1700,13/31,2,5202,100,ASPH-G,HIGH,20,,,,G
WDR,ALL/M-F/0900-1800,13/31,2,5202,100,ASPH-G,HIGH,20,,,,G
WDR,ALL/SUN/1100-1700,13/31,2,5202,100,ASPH-G,HIGH,20,,,,G
BOI,ALL/ALL/ALL,10L/28R,2,10000,150,ASPH-G,HIGH,100,210,446,947,G
BOI,ALL/ALL/ALL,10R/28L,2,9763,150,ASPH-G,HIGH,100,210,430,994,G
65S,ALL/SAT/0800-1600,02/20,1,4002,75,ASPH-G,MED,25,,,,G
65S,ALL/MON-FRI/0800-1700,02/20,1,4002,75,ASPH-G,MED,25,,,,G
LLJ,ALL/MON-FRI/0700-1700,17/35,1,4601,60,ASPH-E,MED,30,,,,G
COE,ALL/ALL/0700-1700,02/20,2,5400,75,ASPH-G,MED,50,83,150,,G
COE,ALL/ALL/0700-1700,06/24,2,7400,100,ASPH-G,HIGH,57,95,165,,G
GIC,UNATNDD,08/26,1,5101,75,ASPH-E,MED,75,95,145,,G
SUN,ALL/ALL/0700-2300,13/31,1,7550,100,ASPH-G,HIGH,65,95,150,,G
IDA,ALL/ALL/0530-2130,03/21,2,9002,150,ASPH-G,HIGH,140,175,270,,G
IDA,ALL/ALL/0530-2130,17/35,2,3964,75,ASPH-G,MED,43,58,,,G
JER,ALL/ALL/0800-1700,09/27,1,5002,75,ASPH-E,MED,20,,,,G
LWS,ALL/ALL/0530-2100,12/30,2,5003,75,ASPH-E,MED,118,196,,,G
LWS,ALL/ALL/0530-2100,08/26,2,6511,150,ASPH-E,HIGH,150,180,400,,G
MYL,MAY-SEP/ALL/0800L-1800L,16/34,1,6101,75,ASPH-G,MED,86,141,261,,G
MYL,OCT-APR/ALL/0900L-1600L,16/34,1,6101,75,ASPH-G,MED,86,141,261,,G
MAN,ALL/ALL/0800-1700,11/29,1,5000,75,ASPH-G,MED,26,50,60,,F
PIH,ALL/ALL/0600-2200,03/21,2,9059,150,ASPH-G,HIGH,100,160,265,,G
PIH,ALL/ALL/0600-2200,17/35,2,7150,100,ASPH-G,MED,74,110,199,,F
U10,ALL/ALL/DALGT,04/22,2,3558,60,ASPH-G,MED,12,,,,G
SMN,ALL/ALL/0800-1700,17/35,1,5510,75,ASPH-G,MED,12,,,,G
SZT,SUMMER/ALL/0700-1700,02/20,1,5501,75,ASPH-G,MED,40,,,,G
SZT,WINTER/ALL/0800-1700,02/20,1,5501,75,ASPH-G,MED,40,,,,G
TWF,ALL/ALL/0630-2000,08/26,2,8704,150,ASPH-G,HIGH,75,200,250,,G
TWF,ALL/ALL/0630-2000,12/30,2,3224,75,ASPH-F,,19,,,,G
CPS,ALL/ALL/ALL,05/23,3,2799,75,ASPH-F,MED,12,,,,F
CPS,ALL/ALL/ALL,12L/30R,3,5301,75,CONC-F,MED,30,30,,,F
CPS,ALL/ALL/ALL,12R/30L,3,7002,150,ASPH-E,HIGH,65,95,175,,G
UGN,ALL/ALL/ALL,05/23,2,6001,150,ASPH-G,HIGH,95,120,200,,G
UGN,ALL/ALL/ALL,14/32,2,3750,75,ASPH-G,MED,16,23,,,G
DPA,ALL/ALL/ALL,02R/20L,4,6451,100,CONC-G,MED,30,45,,,G
DPA,ALL/ALL/ALL,15/33,4,3399,100,ASPH-G,MED,30,45,100,,G
DPA,ALL/ALL/ALL,10/28,4,4750,75,ASPH-G,HIGH,30,45,,,G
DPA,ALL/ALL/ALL,02L/20R,4,7571,150,CONC-G,HIGH,30,45,,,G
MLI,ALL/ALL/ALL,05/23,3,3515,150,CONC-G,MED,60,75,120,,F
MLI,ALL/ALL/ALL,09/27,3,10002,150,CONC-G,HIGH,100,173,353,,G
MLI,ALL/ALL/ALL,13/31,3,7301,150,ASPH-CONC-G,HIGH,60,140,200,,G
PIA,ALL/ALL/ALL,13/31,2,10104,150,CONC-G,HIGH,100,175,310,,G
PIA,ALL/ALL/ALL,04/22,2,8004,150,ASPH-F,HIGH,100,175,300,,F
RFD,ALL/ALL/ALL,07/25,2,10002,150,ASPH-CONC-G,HIGH,100,190,360,850,G
RFD,ALL/ALL/ALL,01/19,2,8200,150,ASPH-CONC-G,HIGH,100,210,390,850,G
SPI,ALL/ALL/0530-0000,13/31,2,7400,150,ASPH-F,HIGH,70,90,160,,G
SPI,ALL/ALL/0530-0000,04/22,2,8001,150,CONC-F,HIGH,100,200,350,,G
BAK,ALL/ALL/0600-2000,05/23,2,6401,150,CONC-E,HIGH,75,130,200,,G
BAK,ALL/ALL/0600-2000,14/32,2,5000,100,CONC-E,MED,120,171,290,735,G
EVV,ALL/ALL/ALL,04/22,3,8021,150,ASPH-G,HIGH,100,175,300,,G
EVV,ALL/ALL/ALL,09/27,3,3497,75,ASPH-G,MED,30,40,60,,G
EVV,ALL/ALL/ALL,18/36,3,6286,150,ASPH-G,HIGH,100,175,300,,G
GYY,ALL/ALL/ALL,02/20,2,3604,100,ASPH-F,MED,18,28,,,F
GYY,ALL/ALL/ALL,12/30,2,8859,150,CONC-G,HIGH,75,157,175,250,G
IND,ALL/ALL/ALL,05L/23R,3,11200,150,CONC-G,HIGH,145,300,550,,G
IND,ALL/ALL/ALL,05R/23L,3,10000,150,CONC-G,HIGH,145,300,550,,G
IND,ALL/ALL/ALL,14/32,3,7278,150,ASPH-G,HIGH,145,300,550,,G
LAF,ALL/ALL/0600-2200,10/28,2,6600,150,ASPH-G,HIGH,90,110,165,,F
LAF,ALL/ALL/0600-2200,05/23,2,4225,100,ASPH-G,MED,48,58,90,,F
RID,ALL/ALL/0800-1745,15/33,2,4999,100,ASPH-F,MED,30,40,60,,G
RID,ALL/ALL/0800-1745,06/24,2,5502,150,ASPH-E,MED,30,40,60,,G
DBQ,ALL/ALL/0600-2200,13/31,2,6502,100,CONC-G,HIGH,75,125,215,,G
DBQ,ALL/ALL/0600-2200,18/36,2,6327,150,CONC-G,HIGH,75,173,275,,G
GCK,ALL/ALL/0700-2100,17/35,2,7299,100,CONC-G,HIGH,76,91,125,,G
GCK,ALL/ALL/0700-2100,12/30,2,5700,100,CONC-G,MED,48,60,,,G
HUT,ALL/SAT-SUN/0800-1700,17/35,3,4012,75,CONC-E,MED,43,58,76,,G
HUT,ALL/MON-FRI/0800-1800,17/35,3,4012,75,CONC-E,MED,43,58,76,,G
HUT,ALL/SAT-SUN/0800-1700,13/31,3,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,ALL/MON-FRI/0800-1800,13/31,3,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,ALL/SAT-SUN/0800-1700,04/22,3,4405,100,ASPH-F,MED,42,52,76,,G
HUT,ALL/MON-FRI/0800-1800,04/22,3,4405,100,ASPH-F,MED,42,52,76,,G
LBL,ALL/SAT-SUN/0700-2000,17/35,2,7105,100,CONC-E,HIGH,80,100,,,G
LBL,ALL/MON-FRI/0600-2000,17/35,2,7105,100,CONC-E,HIGH,80,100,,,G
LBL,ALL/SAT-SUN/0700-2000,04/22,2,5000,75,CONC-E,MED,30,60,,,G
LBL,ALL/MON-FRI/0600-2000,04/22,2,5000,75,CONC-E,MED,30,60,,,G
EWK,ALL/ALL/0700-2300,17/35,2,7003,100,CONC-G,HIGH,50,75,135,,G
EWK,ALL/ALL/0700-2300,08/26,2,3501,60,ASPH-G,MED,13,,,,G
TOP,ALL/ALL/0700-2100,18/36,2,4331,75,ASPH-G,MED,60,80,96,,F
TOP,ALL/ALL/0700-2100,13/31,2,5099,100,ASPH-G,HIGH,50,72,110,,G
ICT,ALL/ALL/ALL,01R/19L,3,7302,150,CONC-G,HIGH,125,240,400,,G
ICT,ALL/ALL/ALL,14/32,3,6301,150,CONC-G,HIGH,100,190,280,,G
ICT,ALL/ALL/ALL,01L/19R,3,10302,150,CONC-G,HIGH,100,210,300,,G
AAO,ALL/ALL/ALL,18/36,1,6101,100,CONC-G,MED,40,62,,,G
BWG,ALL/ALL/ALL,12/30,2,3956,150,ASPH-P,MED,25,40,,,G
BWG,ALL/ALL/ALL,03/21,2,6501,150,ASPH-G,HIGH,120,221,358,,F
FFT,ALL/SAT-SUN/0900-1800,07/25,1,5506,100,ASPH-G,MED,76,100,82,,G
FFT,ALL/MON-FRI/0700-2000,07/25,1,5506,100,ASPH-G,MED,76,100,82,,G
GLW,ALL/MON-SAT/0800-1700,08/26,1,5302,100,ASPH-G,MED,43,62,,,G
LOZ,NOV-MAR/MON-FRI/0700-1900,06/24,1,5751,150,ASPH-G,MED,61,82,151,,G
LOZ,APR-OCT/SAT-SUN/0800-2000,06/24,1,5751,150,ASPH-G,MED,61,82,151,,G
LOZ,APR-OCT/MON-FRI/0700-2000,06/24,1,5751,150,ASPH-G,MED,61,82,151,,G
LOZ,NOV-MAR/SAT-SUN/0800-1900,06/24,1,5751,150,ASPH-G,MED,61,82,151,,G
2I0,ALL/SAT-SUN/0800-1700,05/23,1,6051,100,ASPH-F,HIGH,92,127,,,F
2I0,ALL/HOLIDAY/0800-1700,05/23,1,6051,100,ASPH-F,HIGH,92,127,,,F
2I0,ALL/MON-FRI/0700-1700,05/23,1,6051,100,ASPH-F,HIGH,92,127,,,F
M25,ALL/ALL/0700-1500,01/19,1,5002,100,ASPH-F,MED,16,,,,P
EKQ,ALL/SUN/UNATNDD,03/21,1,4000,75,ASPH-G,MED,12,,,,P
EKQ,ALL/MON-SAT/0830-1730,03/21,1,4000,75,ASPH-G,MED,12,,,,P
IOB,ALL/ALL/0800-1800,03/21,1,5000,75,ASPH-G,MED,20,,,,G
PAH,ALL/ALL/0500-1800,05/23,2,6500,150,ASPH-G,HIGH,76,99,170,,G
PAH,ALL/ALL/0500-1800,14/32,2,5499,150,ASPH-G,MED,75,100,170,,G
SJS,ALL/ALL/0800-DUSK,03/21,1,5000,100,ASPH-E,MED,19,,,,G
HUM,ALL/ALL/0600-1900,18/36,2,6508,150,CONC-G,MED,116,224,406,907,G
HUM,ALL/ALL/0600-1900,12/30,2,4999,185,CONC-G,MED,50,70,137,,G
LFT,ALL/ALL/ALL,11/29,3,5400,148,ASPH-G,MED,85,110,175,,G
LFT,ALL/ALL/ALL,04R/22L,3,8000,150,ASPH-G,HIGH,140,170,290,,G
LFT,ALL/ALL/ALL,04L/22R,3,4099,75,ASPH-F,MED,25,32,,,F
MLU,ALL/ALL/ALL,14/32,2,6301,150,ASPH-G,MED,75,170,290,,G
MLU,ALL/ALL/ALL,04/22,2,7504,150,ASPH-G,HIGH,75,170,290,,G
NEW,ALL/ALL/ALL,18L/36R,3,3697,75,ASPH-G,MED,35,55,80,,G
NEW,ALL/ALL/ALL,18R/36L,3,6879,150,ASPH-G,MED,60,175,200,350,G
NEW,ALL/ALL/ALL,09/27,3,3114,75,ASPH-F,MED,50,80,100,,G
SHV,ALL/ALL/ALL,14/32,2,8348,200,ASPH-E,HIGH,75,190,400,,G
SHV,ALL/ALL/ALL,06/24,2,7003,150,ASPH-E,MED,75,158,280,,G
TVR,ALL/ALL/0700-1900,18/36,1,5002,100,ASPH-G,MED,60,75,,,G
BGR,ALL/ALL/ALL,15/33,2,11440,200,ASPH-G,HIGH,100,210,400,,G
RKD,ALL/MON-FRI/0600-1700,03/21,2,4000,100,ASPH-G,MED,65,80,,,G
RKD,ALL/MON-FRI/0600-1700,13/31,2,5412,100,ASPH-E,HIGH,65,80,,,G
SFM,JUN-SEPT/ALL/0700-1900,07/25,2,6389,100,ASPH-G,HIGH,65,100,,,G
SFM,OCT-MAY/ALL/0700-1700,07/25,2,6389,100,ASPH-G,HIGH,65,100,,,G
BWI,ALL/ALL/ALL,10/28,3,10503,150,ASPH-G,HIGH,80,220,1020,1340,G
BWI,ALL/ALL/ALL,15L/33R,3,5000,100,ASPH-F,HIGH,30,45,,,G
BWI,ALL/ALL/ALL,15R/33L,3,9501,150,ASPH-G,HIGH,80,220,675,890,G
FDK,ALL/ALL/0700-2100++,05/23,2,5819,100,ASPH-G,HIGH,60,,,,G
AQW,ALL/ALL/0800-1630,11/29,1,4300,100,ASPH-E,MED,25,,,,G
OWD,"ALL/MON - FRI/0800-1700",10/28,2,3995,75,ASPH-G,,58,69,,,G
OWD,"ALL/MON - FRI/0800-1700",17/35,2,4007,100,ASPH-G,MED,58,69,,,G
GLR,NOV-APR/ALL/0630-1700,18/36,2,4200,75,ASPH-G,MED,12,,,,F
GLR,MAY-OCT/ALL/0730-1800,18/36,2,4200,75,ASPH-G,MED,12,,,,F
OZW,ALL/MON-FRI/0700-1700,13/31,1,5002,100,CONC-G,HIGH,100,,,,F
OZW,ALL/SAT-SUN/0800-1200,13/31,1,5002,100,CONC-G,HIGH,100,,,,F
LAN,ALL/ALL/ALL,10R/28L,3,8506,150,ASPH-G,HIGH,100,175,300,,G
LAN,ALL/ALL/ALL,06/24,3,5003,120,ASPH-F,MED,45,65,100,,G
LAN,ALL/ALL/ALL,10L/28R,3,3601,75,ASPH-F,,12,,,,F
SAW,ALL/ALL/0500-2000,01/19,1,9072,150,ASPH-G,HIGH,114,181,317,741,F
OSC,"ALL/SAT-SUN/ON CALL",07/25,1,11800,200,ASPH-G,HIGH,155,330,550,,G
OSC,ALL/MON-FRI/0800-1700,07/25,1,11800,200,ASPH-G,HIGH,155,330,550,,G
PLN,ALL/ALL/0600-2300,05/23,2,5401,150,ASPH-G,MED,76,115,215,,F
PLN,ALL/ALL/0600-2300,14/32,2,6513,150,ASPH-G,HIGH,76,115,215,,F
LWA,ALL/ALL/0900-1700,05/23,2,4800,75,ASPH-G,MED,12,,,,G
TVC,ALL/ALL/0400-0100,10/28,2,7016,150,ASPH-F,HIGH,120,230,440,,G
TVC,ALL/ALL/0400-0100,18/36,2,5378,150,ASPH-F,MED,70,110,190,,G
AIT,NOV-MAR/MON-FRI/0900-1700,16/34,2,4000,75,ASPH-F,MED,12,,,,G
AIT,APR-OCT/ALL/0800-1700,16/34,2,4000,75,ASPH-F,MED,12,,,,G
AUM,ALL/MON-FRI/0800-1700,17/35,1,5800,100,CONC-G,HIGH,100,135,,,G
AUM,ALL/SUN/0900-1500,17/35,1,5800,100,CONC-G,HIGH,100,135,,,G
AUM,ALL/SAT/0800-1600,17/35,1,5800,100,CONC-G,HIGH,100,135,,,G
BJI,ALL/TUE-FRI/0600-2100,13/31,2,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,ALL/SAT-SUN/0800-1700,13/31,2,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,ALL/MON/0700-2100,13/31,2,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,ALL/TUE-FRI/0600-2100,07/25,2,5700,150,ASPH-E,MED,75,200,,,G
BJI,ALL/SAT-SUN/0800-1700,07/25,2,5700,150,ASPH-E,MED,75,200,,,G
BJI,ALL/MON/0700-2100,07/25,2,5700,150,ASPH-E,MED,75,200,,,G
BRD,NOV-JUN/ALL/0500-2300,05/23,3,6512,150,CONC-G,HIGH,75,125,220,,G
BRD,JUL-OCT/ALL/0500-2300,05/23,3,6512,150,CONC-G,HIGH,75,125,220,,G
BRD,NOV-JUN/ALL/0500-2300,16/34,3,7100,150,CONC-E,HIGH,75,125,220,,G
BRD,JUL-OCT/ALL/0500-2300,16/34,3,7100,150,CONC-E,HIGH,75,125,220,,G
COQ,ALL/MON-SAT/0800-1700,18/36,2,4002,75,ASPH-F,MED,8,12,,,G
DLH,ALL/ALL/ALL,03/21,2,5719,150,ASPH-G,MED,52,100,361,,G
DLH,ALL/ALL/ALL,09/27,2,10591,150,CONC-F,HIGH,94,180,650,,G
ELO,ALL/ALL/0800-1700,12/30,1,5596,100,ASPH-G,MED,99,159,,,G
GPZ,APR-OCT/ALL/0700-2100,16/34,2,5756,100,ASPH-G,HIGH,23,38,78,,G
